sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
aberrant	{'Noun': ['one whose behavior departs substantially from the norm of a group'], 'Adjective': ['markedly different from an accepted norm']}
abhor	{'Verb': ['find repugnant']}
abhorrent	{'Adjective': ['offensive to the mind']}
abjured	{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}
abolition	{'Noun': ['the act of abolishing a system or practice or institution (especially abolishing slavery']}
abreast	{'Adjective': ['being up to particular standard or level especially in being up to date in knowledge'], 'Adverb': ['alongside each other, facing in the same direction']}
abridge	{'Verb': ['reduce in scope while retaining essential elements', 'lessen, diminish, or curtail']}
abstruse	{'Adjective': ['difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge']}
accolades	{'Noun': ['a tangible symbol signifying approval or distinction']}
accrue	{'Verb': ['grow by addition', 'come into the possession of']}
acculturation	{'Noun': ['the adoption of the behavior patterns of the surrounding culture', 'all the knowledge and values shared by a society', 'the process of assimilating new ideas into an existing cognitive structure']}
acerbic	{'Adjective': ['sour or bitter in taste', 'harsh or corrosive in tone']}
acrimony	{'Noun': ['a rough and bitter manner']}
actuarial	{'Adjective': ['of or relating to the work of an actuary']}
acumen	{'Noun': ['a tapering point', 'shrewdness shown by keen insight']}
adherents	{'Noun': ['someone who believes and helps to spread the doctrine of another']}
adherence	{'Noun': ['faithful support for a cause or political party or religion', 'the property of sticking together (as of glue and wood']}
adroit	{'Adjective': ['quick or skillful or adept in action or thought']}
adulatory	{'Adjective': ['obsequiously complimentary']}
aesthetic	{'Noun': ['(philosophy'], 'Adjective': ['relating to or dealing with the subject of aesthetics', 'concerning or characterized by an appreciation of beauty or good taste', 'aesthetically pleasing']}
aesthetics	{'Noun': ['(philosophy', 'emphasizing the evaluative criteria that are applied to art']}
affability	{'Noun': ['a disposition to be friendly and approachable (easy to talk to']}
affectless
affinity	{'Noun': ['(immunology', '(anthropology', '(biology', 'a close connection marked by community of interests or similarity in nature or character', 'the force attracting atoms to each other and binding them together in a molecule', 'inherent resemblance between persons or things', 'a natural attraction or feeling of kinship']}
affirm	{'Verb': ['establish or strengthen as with new evidence or facts', 'to declare or affirm solemnly and formally as true', 'say yes to']}
affluent	{'Noun': ['an affluent person; a person who is financially well off', 'a branch that flows into the main stream'], 'Adjective': ['having an abundant supply of money or possessions of value']}
agglomerated	{'Verb': ['form into one cluster'], 'Adjective': ['clustered together but not coherent']}
aggrieve	{'Verb': ['infringe on the rights of', 'cause to feel sorrow']}
aghast	{'Adjective': ['struck with fear, dread, or consternation']}
agrarian	{'Adjective': ['relating to farming or agriculture', 'or agricultural']}
akimbo	{'Adjective': ['(used of arms and legs'], 'Adverb': ['with hands on hips and elbows extending outward']}
albatross	{'Noun': ['(figurative', 'large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight']}
alienation	{'Noun': ['the feeling of being alienated from other people', 'separation resulting from hostility', 'the action of alienating; the action of causing to become unfriendly']}
allegorical	{'Adjective': ['used in or characteristic of or containing allegory']}
alluring	{'Verb': ['dispose or incline or entice to'], 'Adjective': ['highly attractive and able to arouse hope or desire']}
amalgamate	{'Verb': ['to bring or combine together or with something else'], 'Adjective': ['joined together into a whole']}
amateurs	{'Noun': ['someone who pursues a study or sport as a pastime', 'an athlete who does not play for pay']}
ameliorate	{'Verb': ['to make better', 'get better']}
amenable	{'Adjective': ['disposed or willing to conform', 'responsive to suggestions and influences', 'open to being acted upon in a certain way', 'liable to answer to a higher authority']}
amended	{'Verb': ['make amendments to', 'to make better', 'set straight or right'], 'Adjective': ['of legislation', 'modified for the better']}
